genero_etiqueta,Time,Location_encoded,Zone_encoded,Habitat_encoded,Cranial_Capacity,Height,Incisor_Size_encoded,Jaw_Shape_encoded,Torus_Supraorbital_encoded,Prognathism_encoded,Foramen_encoded,Canine_Size_encoded,Canines_Shape_encoded,Tooth_Enamel_encoded,Tecno_encoded,tecno_type_mapping_encoded,Biped_encoded,foots_encoded,Diet_encoded,Sexual_Dimorphism_encoded,Hip_encoded,Vertical_Front_encoded,Anatomy_encoded,Migrated_encoded,genero_etiqueta_num,genero_especie_num
Homo temprano,2.41366121,0,1,3,546.29687,124.32299,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Homininos,7.35995389,0,0,2,91.99826,92.46643,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Australopithecus,4.8177533,0,1,1,295.99277,119.75569,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Paranthropus,2.04220089,0,2,1,371.24383,125.61134,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homo temprano,1.13336217,1,3,3,1126.95261,165.92129,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Australopithecus,3.52305877,0,0,2,160.00052,121.85048,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Paranthropus,2.55625014,0,2,1,461.7944,112.87852,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Homo temprano,0.47571097,2,0,1,1392.34565,182.43106,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Paranthropus,2.66316257,0,1,1,388.60438,115.81109,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Australopithecus,1.69742474,0,2,2,299.09918,108.81619,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Australopithecus,3.99457531,0,2,1,678.5213,114.92023,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Homo temprano,3.13361282,0,1,3,723.27027,131.57569,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Paranthropus,3.04219668,0,1,0,568.92666,104.90661,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Otros,0.42118041,1,1,0,333.24672,94.33143,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Australopithecus,4.87101918,0,1,1,422.83684,128.86312,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Otros,0.31827983,1,1,0,290.3247,93.63621,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Paranthropus,2.07062125,0,2,1,412.3313,128.24948,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Otros,0.54874198,0,2,1,200.64819,128.81318,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homo temprano,2.74883483,0,1,3,807.58394,132.13866,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Otros,0.50802018,1,1,0,272.23853,97.86321,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Australopithecus,2.44166362,0,2,2,494.91462,117.11075,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Homo temprano,0.90423397,2,3,3,974.52655,160.75127,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Paranthropus,2.9774929,0,1,1,554.53824,117.38279,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Australopithecus,4.00826792,0,1,2,356.37803,129.46414,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Australopithecus,4.00239448,0,0,2,393.69876,124.49539,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homo temprano,0.66745731,2,0,1,1339.84019,165.30224,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Paranthropus,2.60739161,0,1,0,352.09417,107.97404,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homininos,3.72925155,0,1,2,216.19061,108.74298,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo temprano,1.43857902,2,3,3,1053.88274,171.82815,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo tardío,1.14724569,0,1,3,1168.85014,151.76671,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Otros,0.81894768,1,1,0,174.42585,95.87764,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Homo tardío,0.76631946,0,1,3,1225.49625,177.54056,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homininos,6.97916406,0,0,2,97.41041,81.23712,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homo temprano,2.80543758,0,1,3,636.17864,135.36256,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Homo tardío,0.51403402,0,1,3,1110.72417,156.90702,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Homo temprano,1.1386022,2,0,1,1440.43324,172.02764,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Australopithecus,1.69667345,0,2,2,546.17577,100.7814,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Homo tardío,0.41579697,0,1,3,1090.88083,175.79244,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Australopithecus,3.52392253,0,2,1,637.20354,106.07501,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Homo temprano,1.06654033,1,3,3,1049.40251,160.52155,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Australopithecus,3.69413066,0,1,2,231.52457,131.20185,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homo tardío,1.25036316,0,1,3,1145.49155,151.23083,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Homo temprano,2.41524495,0,1,3,557.63753,136.14765,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Otros,0.12638853,0,2,1,390.09197,128.53468,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homo temprano,2.89613263,0,1,3,567.51213,131.35454,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Homininos,6.76598795,0,0,2,187.92756,96.7885,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homo temprano,1.64951497,0,1,3,900.34005,167.19439,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Australopithecus,2.83994607,0,1,2,492.64422,114.48358,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Homininos,6.70501319,0,0,2,6.85231,99.20874,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Paranthropus,2.37804308,0,1,0,439.00125,116.77576,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Australopithecus,4.07772933,0,2,1,434.31028,109.02739,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Otros,0.91606269,0,2,1,221.13254,135.69862,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homininos,6.04763018,0,1,1,270.84156,111.99756,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo temprano,2.06065649,1,3,3,862.77008,147.38458,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homininos,4.47674353,0,1,2,307.48735,111.60241,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo temprano,1.28001018,0,1,3,776.11365,153.97954,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Otros,0.45842759,1,1,0,260.16736,91.4914,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Homininos,5.85686345,0,1,1,253.45204,124.46304,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Otros,0.17740827,1,1,0,389.22113,106.31345,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Australopithecus,4.1202777,0,1,1,397.58253,124.96363,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homininos,6.56614363,0,1,1,117.71029,122.5825,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo tardío,0.85176719,2,0,1,1125.99339,160.25181,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Homininos,4.63845119,0,1,2,204.40973,109.08198,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Australopithecus,4.38240792,0,1,2,296.88184,123.42516,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homininos,7.35201694,0,0,2,10.08425,88.2527,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Otros,0.64069576,0,2,1,376.48756,133.19113,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homo temprano,1.08371538,1,3,3,939.82121,155.97458,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Homininos,7.6781602,0,0,2,204.02095,88.85748,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Australopithecus,2.44195875,0,1,2,237.64617,124.73222,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Homininos,6.03497919,0,1,1,78.98995,127.26639,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homininos,5.77721283,0,1,1,247.22022,125.53165,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Australopithecus,3.81064333,0,1,2,410.11812,138.24517,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Otros,0.07546082,1,1,0,341.2416,95.59975,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Homininos,3.82411852,0,1,2,275.90015,109.65846,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo temprano,2.10511197,0,1,3,883.07625,165.59833,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Australopithecus,3.68318378,0,1,2,251.19906,124.55968,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homo temprano,1.77377056,1,3,3,722.17593,159.37479,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homo temprano,2.13836419,1,3,3,748.52032,141.41438,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homo tardío,0.43297223,2,0,1,1221.82268,160.97592,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Paranthropus,2.37761404,0,1,0,400.80414,113.27706,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo temprano,1.13189333,1,3,3,1014.63847,150.20407,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Homo tardío,0.34572585,0,1,3,1173.83125,140.46712,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Otros,0.56209845,1,1,0,295.15006,99.83003,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Paranthropus,2.34854086,0,1,1,618.08272,108.22529,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Otros,0.95214488,1,1,0,303.14466,92.78494,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Homininos,3.93100162,0,1,2,327.57004,102.52949,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Homo temprano,2.81270767,0,1,3,852.07366,135.66122,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Homo temprano,0.89301315,2,3,3,911.09014,178.93829,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homininos,7.03505375,0,0,2,215.57187,96.66806,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homininos,4.1637113,0,1,2,391.10663,101.27741,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Otros,0.43007645,1,1,0,299.06492,90.50195,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Australopithecus,3.55464206,0,2,1,479.79969,116.81406,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Otros,0.78893222,0,2,1,205.90493,124.2896,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homo temprano,1.94169057,0,1,3,707.69317,164.09792,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Homininos,7.23630302,0,0,2,4.24635,93.14445,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homo tardío,0.65615509,2,0,1,1093.01895,155.52465,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Otros,0.4202536,1,1,0,193.13671,103.82566,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Paranthropus,2.00057984,0,2,1,474.63567,129.11398,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Australopithecus,4.75530837,0,1,1,415.66919,123.95151,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Paranthropus,2.83774373,0,1,0,378.64283,101.04338,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Australopithecus,2.22194906,0,1,2,252.76209,115.65838,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Paranthropus,2.33099045,0,1,0,318.48904,103.0937,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Otros,0.60916642,1,1,0,302.17304,105.68475,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Australopithecus,3.43589586,0,0,2,277.3853,117.74225,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Australopithecus,3.30079329,0,0,2,289.78505,123.38992,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homo temprano,2.87751241,0,1,3,693.22751,139.75024,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Homo temprano,2.55845734,0,1,3,658.73751,138.10593,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Australopithecus,4.29914798,0,1,2,496.64526,135.16172,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homo tardío,0.32188871,0,1,3,1297.58726,174.8448,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Paranthropus,2.69417988,0,1,1,402.95436,101.61556,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Australopithecus,1.68128626,0,2,2,489.89282,115.03476,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Homo temprano,1.24294186,1,3,3,1153.6887,161.06706,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Homo temprano,0.45106591,2,0,1,1381.37419,178.17179,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Otros,0.32362331,1,1,0,443.58768,109.61828,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Paranthropus,2.4942806,0,1,1,407.90734,108.37032,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homo temprano,1.00254882,2,3,3,1070.16511,174.36514,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homininos,5.93446086,0,1,1,26.85279,112.97855,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo temprano,2.50590325,0,1,3,597.73632,139.12664,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Homininos,6.27579799,0,1,1,157.26677,128.55411,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo tardío,0.32060737,0,1,3,1198.37862,160.77885,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homo tardío,0.23079348,2,0,1,1206.99356,150.91685,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Australopithecus,3.31965575,0,2,1,686.10598,108.58995,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Homo temprano,1.45283467,2,3,3,892.74349,163.1765,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Australopithecus,3.70092588,0,1,2,311.94574,136.86416,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Otros,0.74847326,0,2,1,489.76895,130.31056,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Australopithecus,2.65770881,0,1,2,486.31245,118.12685,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Australopithecus,3.76317652,0,0,2,183.50856,125.18622,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Australopithecus,4.02857811,0,1,1,215.86681,121.36455,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homo temprano,1.16048629,2,0,1,1177.36219,176.93868,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Homo temprano,2.58191774,0,1,3,631.24962,127.34585,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Paranthropus,2.61270453,0,1,1,432.64148,119.62134,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Australopithecus,2.79008737,0,1,2,266.42196,124.43728,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Otros,0.0736823,0,2,1,471.53528,136.73255,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Paranthropus,2.78335873,0,1,1,562.07948,113.79155,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Homo temprano,1.97469871,0,1,3,718.29908,159.31768,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Australopithecus,3.43266456,0,0,2,437.35798,124.6192,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Australopithecus,3.24487826,0,2,1,687.03864,112.99764,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Australopithecus,4.77094928,0,1,1,499.50061,127.8746,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Australopithecus,3.20141499,0,0,2,422.72291,115.61471,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homininos,6.44023561,0,1,1,210.5162,113.97409,2,4,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1
Homo temprano,0.71188757,2,3,3,966.66676,175.32381,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo temprano,0.45706071,2,0,1,1218.32758,180.73656,2,2,3,4,3,1,1,2,2,3,3,1,0,1,3,2,3,0,3,21
Homo temprano,2.44699721,1,3,3,811.72834,141.1242,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homo temprano,1.24628247,0,1,3,912.65116,154.11281,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Homo tardío,0.52415822,0,1,3,1202.7386,171.86482,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homo tardío,0.64958937,2,0,1,975.75074,164.29407,4,2,3,4,3,1,1,2,2,4,3,1,0,1,3,2,3,0,4,23
Australopithecus,3.99815313,0,1,2,267.86149,123.85148,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Otros,0.82073656,1,1,0,439.25107,108.30723,2,3,3,2,3,1,1,1,2,2,3,1,1,1,1,0,1,0,5,19
Australopithecus,2.02831922,0,2,2,511.75501,118.43302,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Australopithecus,3.54917693,0,0,2,402.06374,121.86077,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Australopithecus,4.04935061,0,1,2,212.98115,125.96426,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Australopithecus,3.92414896,0,1,2,367.10163,124.8097,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homo temprano,1.68643434,1,3,3,624.3138,146.59397,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Australopithecus,2.21139694,0,1,2,469.80371,113.28502,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Homo temprano,1.69890483,1,3,3,1034.27669,153.46902,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Australopithecus,3.97832937,0,1,2,308.505,120.90748,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Australopithecus,3.63712065,0,2,1,682.89322,103.89818,2,4,1,2,2,1,1,0,0,0,2,0,4,0,1,1,0,0,1,7
Homo tardío,0.47768987,0,1,3,1121.84731,163.40288,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Paranthropus,2.17854872,0,2,1,380.00422,112.83337,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Australopithecus,4.11616684,0,1,1,480.87693,122.34609,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Australopithecus,2.35032107,0,1,2,368.53414,122.52202,4,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,0,0,1,8
Homo temprano,1.03433159,1,3,3,1019.01405,159.34332,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Homo temprano,1.59269614,1,3,3,783.68879,156.51931,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
Homininos,6.85069398,0,0,2,229.47041,86.03617,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homininos,3.72120225,0,1,2,389.18792,100.60476,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Australopithecus,3.95739671,0,1,2,406.66364,139.11605,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Homo temprano,1.2323901,0,1,3,712.79103,158.91501,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Homo tardío,0.5747761,0,1,3,1094.15459,145.10835,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Homo tardío,0.2700003,0,1,3,1364.55078,173.06658,1,2,4,5,3,1,1,2,2,5,3,1,0,2,3,2,3,1,4,24
Homininos,7.24529081,0,0,2,75.26074,80.23114,2,4,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
Homo temprano,2.71715737,0,1,3,647.43411,133.03794,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Homo temprano,1.01729171,1,3,3,1015.959,160.16735,1,2,3,4,3,1,1,0,2,2,3,1,1,1,2,2,2,1,3,17
Homo temprano,1.20405111,2,3,3,1112.86497,168.14433,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homininos,3.80671694,0,1,2,187.11995,116.54043,2,4,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,0,0,2
Australopithecus,4.56616224,0,1,1,301.77839,129.17248,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Paranthropus,1.74363267,0,2,1,445.91193,121.31124,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Australopithecus,2.21954534,0,2,2,257.32692,111.11098,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Australopithecus,2.41856316,0,2,2,322.7702,111.83756,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Homo temprano,1.61715258,0,1,3,935.50662,158.14268,1,2,1,4,3,1,1,1,2,3,3,1,1,1,2,2,2,1,3,16
Australopithecus,4.67432034,0,1,1,453.41387,111.48813,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homo temprano,1.02707817,2,3,3,976.56832,178.70449,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo tardío,1.07580859,0,1,3,1206.4705,145.88521,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Homo temprano,1.64810328,2,3,3,1121.81228,165.50795,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Australopithecus,4.13569756,0,0,2,238.87189,115.51189,2,3,1,2,2,0,0,0,0,0,2,0,4,0,0,0,0,0,1,6
Homo temprano,0.94688035,2,3,3,916.41336,170.6231,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Paranthropus,2.67468433,0,1,1,530.91758,110.79012,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,12
Australopithecus,2.29682228,0,2,2,354.82876,117.31718,2,3,1,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,1,9
Australopithecus,4.58689667,0,1,2,252.96707,139.56812,4,3,1,1,2,0,1,0,0,0,2,1,4,0,0,0,0,0,1,5
Australopithecus,4.33053462,0,1,1,290.51157,119.39968,4,3,1,1,2,0,1,0,0,0,2,0,4,0,1,0,1,0,1,4
Homo temprano,2.65623766,0,1,3,643.88814,132.14708,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Paranthropus,1.88152027,0,2,1,648.68471,121.88941,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,11
Paranthropus,2.92473276,0,1,0,383.5626,112.50542,5,1,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,2,10
Homo temprano,2.25478015,0,1,3,713.79169,130.37012,2,3,2,2,2,0,0,0,0,0,2,1,3,0,0,0,1,0,3,14
Otros,0.40655795,0,2,1,389.64898,137.56193,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homo tardío,1.2802613,0,1,3,996.17301,149.75577,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Otros,0.5425048,0,2,1,210.07224,132.91922,4,3,3,2,3,1,1,1,0,0,3,1,1,1,1,0,1,0,5,18
Homo temprano,2.24298842,0,1,3,854.7428,137.36609,2,3,3,3,2,1,1,1,2,2,3,1,1,1,2,1,2,1,3,13
Homo temprano,0.79467343,2,3,3,1145.64003,174.95753,3,3,3,3,3,0,1,1,2,2,3,1,1,1,2,2,1,1,3,20
Homo tardío,1.23244912,0,1,3,1071.87735,150.69174,4,3,2,2,3,0,1,1,2,3,3,1,1,1,0,1,1,0,4,22
Homo temprano,1.51128277,1,3,3,622.53093,146.38287,3,3,1,3,2,1,1,1,2,2,3,1,1,1,2,2,2,1,3,15
